"","GeneID","Chr","Start","End","Strand","Annotation"
"1","N16961_00005","NC_002505.1",372,806,"-","FMN-binding protein MioC"
"2","N16961_00010","NC_002505.1",816,2177,"-","tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE"
"3","N16961_00015","NC_002505.1",2271,3896,"-","membrane protein insertase YidC"
"4","N16961_00020","NC_002505.1",4123,4446,"-","ribonuclease P protein component"
"5","N16961_00025","NC_002505.1",4492,4629,"-","50S ribosomal protein L34"
"6","N16961_00030","NC_002505.1",4871,5608,"-","ABC-type polar amino acid transport system, ATPase component"
"7","N16961_00035","NC_002505.1",5605,6276,"-","putative amino-acid ABC transporter permease protein PatM"
"8","N16961_00040","NC_002505.1",6354,7100,"-","ABC-type amino acid transport/signal transduction system, periplasmic component/domain"
"9","N16961_00045","NC_002505.1",7412,8815,"+","chromosomal replication initiator protein DnaA"
"10","N16961_00055","NC_002505.1",8873,9973,"+","DNA polymerase III subunit beta"
"11","N16961_00060","NC_002505.1",9991,11082,"+","DNA replication/repair protein RecF"
"12","N16961_00065","NC_002505.1",11103,13520,"+","DNA topoisomerase (ATP-hydrolyzing) subunit B"
"13","N16961_00070","NC_002505.1",13945,14367,"+","Transcription elongation factor GreA/GreB C-terminal domain-containing protein"
"14","N16961_00075","NC_002505.1",14377,14493,"+","hypothetical protein"
"15","N16961_00080","NC_002505.1",14769,15206,"+","Small heat shock protein IbpA, HSP20 family"
"16","N16961_00085","NC_002505.1",15294,16550,"-","valine--pyruvate transaminase"
"17","N16961_00095","NC_002505.1",16869,18935,"-","Glycine--tRNA ligase beta subunit"
"18","N16961_00100","NC_002505.1",18950,19867,"-","glycine--tRNA ligase subunit alpha"
"19","N16961_00105","NC_002505.1",20283,20837,"+","Putative manganese exporter"
"20","N16961_00110","NC_002505.1",20943,21200,"+","NADH dehydrogenase subunit II-related protein"
"21","N16961_00115","NC_002505.1",21287,21535,"-","sulfurtransferase TusA"
"22","N16961_00120","NC_002505.1",21671,21856,"+","Holin"
"23","N16961_00125","NC_002505.1",22028,23008,"-","NADPH:quinone reductase or related Zn-dependent oxidoreductase"
"24","N16961_00130","NC_002505.1",23256,24788,"-","threonine ammonia-lyase, biosynthetic"
"25","N16961_00135","NC_002505.1",24792,26633,"-","dihydroxy-acid dehydratase"
"26","N16961_00140","NC_002505.1",26643,27581,"-","branched-chain-amino-acid transaminase"
"27","N16961_00145","NC_002505.1",27593,27877,"-","acetolactate synthase 2 small subunit"
"28","N16961_00150","NC_002505.1",27889,29535,"-","acetolactate synthase 2 catalytic subunit"
"29","N16961_00155","NC_002505.1",30069,31592,"+","YifB family Mg chelatase-like AAA ATPase"
"30","N16961_00160","NC_002505.1",31682,32566,"+","1-acyl-sn-glycerol-3-phosphate acyltransferase"
"31","N16961_00165","NC_002505.1",32644,33246,"-","Thiol:disulfide interchange protein DsbA"
"32","N16961_00170","NC_002505.1",33277,34281,"-","serine/threonine protein kinase"
"33","N16961_00175","NC_002505.1",34311,35735,"-","cytochrome c oxidase accessory protein CcoG"
"34","N16961_00185","NC_002505.1",36152,36418,"-","DUF1040 domain-containing protein"
"35","N16961_00190","NC_002505.1",36979,37770,"+","Stage 0 sporulation-control protein Spo0M"
"36","N16961_00195","NC_002505.1",37854,38495,"+","hemolysin III family protein"
"37","N16961_00200","NC_002505.1",38534,39091,"-","DUF3157 domain-containing protein"
"38","N16961_00205","NC_002505.1",39103,40548,"-","Trk-type K+ transport system, membrane component"
"39","N16961_00210","NC_002505.1",40560,41936,"-","Trk system potassium transporter TrkA"
"40","N16961_00215","NC_002505.1",41998,43278,"-","16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB"
"41","N16961_00220","NC_002505.1",43334,44281,"-","methionyl-tRNA formyltransferase"
"42","N16961_00225","NC_002505.1",44299,44808,"-","peptide deformylase"
"43","N16961_00230","NC_002505.1",44948,46075,"+","Cytoplasmic potassium-binding protein Kbp/XkdP/YgaU, contains LysM domain"
"44","N16961_00235","NC_002505.1",46075,47190,"+","DNA-processing protein DprA"
"45","N16961_00240","NC_002505.1",47193,47669,"+","DUF494 domain-containing protein"
"46","N16961_00245","NC_002505.1",47685,48251,"+","Uncharacterized C-terminal domain of topoisomerase IA"
"47","N16961_00250","NC_002505.1",48324,49457,"-","5-(carboxyamino)imidazole ribonucleotide synthase"
"48","N16961_00255","NC_002505.1",49461,49946,"-","N5-carboxyaminoimidazole ribonucleotide mutase"
"49","N16961_00260","NC_002505.1",50113,50670,"+","L-threonylcarbamoyladenylate synthase"
"50","N16961_00265","NC_002505.1",50689,51606,"+","oxygen-dependent coproporphyrinogen oxidase"
"51","N16961_00270","NC_002505.1",51668,52504,"+","shikimate dehydrogenase"
"52","N16961_00275","NC_002505.1",52501,52776,"+","Transcriptional regulator"
"53","N16961_00280","NC_002505.1",52757,53308,"-","Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily"
"54","N16961_00315","NC_002505.1",59356,59736,"+","fluoride efflux transporter CrcB"
"55","N16961_00320","NC_002505.1",59988,61925,"+","phosphomethylpyrimidine synthase ThiC"
"56","N16961_00325","NC_002505.1",61929,63251,"+","thiamine phosphate synthase"
"57","N16961_00330","NC_002505.1",63238,64014,"+","thiazole biosynthesis adenylyltransferase ThiF"
"58","N16961_00335","NC_002505.1",64008,64214,"+","sulfur carrier protein ThiS"
"59","N16961_00340","NC_002505.1",64220,64990,"+","Thiazole synthase"
"60","N16961_00345","NC_002505.1",64987,66099,"+","2-iminoacetate synthase ThiH"
"61","N16961_00350","NC_002505.1",66324,68117,"-","Xaa-Pro aminopeptidase"
"62","N16961_00355","NC_002505.1",68250,69191,"-","DNA-binding transcriptional regulator, LysR family"
"63","N16961_00360","NC_002505.1",69296,70498,"+","putative arabinose efflux permease AraJ, MFS family"
"64","N16961_00365","NC_002505.1",70602,70886,"+","Transcriptional regulator"
"65","N16961_00370","NC_002505.1",70975,71436,"-","transcriptional regulator AsnC"
"66","N16961_00375","NC_002505.1",71524,73818,"+","PAS domain"
"67","N16961_00380","NC_002505.1",73878,74663,"+","Ribosomal RNA small subunit methyltransferase J"
"68","N16961_00385","NC_002505.1",74787,75170,"+","hypothetical protein"
"69","N16961_00390","NC_002505.1",75266,76153,"-","carboxylate/amino acid/amine transporter"
"70","N16961_00395","NC_002505.1",76210,76635,"-","Nucleotide-binding universal stress protein, UspA family"
"71","N16961_00400","NC_002505.1",76800,77327,"+","non-heme ferritin"
"72","N16961_00405","NC_002505.1",77403,77726,"+","universal stress protein UspB"
"73","N16961_00410","NC_002505.1",77868,79055,"+","putative flavoprotein YhiN"
"74","N16961_00415","NC_002505.1",79052,79963,"-","Permease of the drug/metabolite transporter (DMT) superfamily"
"75","N16961_00420","NC_002505.1",80086,81618,"+","DNA recombination RmuC-like protein"
"76","N16961_00425","NC_002505.1",81663,82445,"+","bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE"
"77","N16961_00430","NC_002505.1",82454,83077,"+","Ubiquinone biosynthesis protein UbiJ, contains SCP2 domain"
"78","N16961_00435","NC_002505.1",83074,84708,"+","ubiquinone biosynthesis regulatory protein kinase UbiB"
"79","N16961_00440","NC_002505.1",84768,85016,"+","Sec-independent protein translocase subunit TatA"
"80","N16961_00445","NC_002505.1",85020,85421,"+","Sec-independent protein translocase protein TatB"
"81","N16961_00450","NC_002505.1",85510,86262,"+","twin-arginine translocase subunit TatC"
"82","N16961_00455","NC_002505.1",86574,87575,"+","Cytochrome c peroxidase"
"83","N16961_00460","NC_002505.1",87681,89036,"-","MATE family efflux transporter DinF"
"84","N16961_00465","NC_002505.1",89116,89928,"-","O-Methyltransferase involved in polyketide biosynthesis"
"85","N16961_00470","NC_002505.1",90013,90642,"-","transcriptional repressor LexA"
"86","N16961_00475","NC_002505.1",90962,93388,"+","glycerol-3-phosphate 1-O-acyltransferase PlsB"
"87","N16961_00480","NC_002505.1",93464,94318,"-","4-hydroxybenzoate octaprenyltransferase"
"88","N16961_00485","NC_002505.1",94319,94858,"-","putative chorismate pyruvate-lyase"
"89","N16961_00490","NC_002505.1",95062,95472,"+","Flagellar basal body-associated protein FliL"
"90","N16961_00495","NC_002505.1",95592,97571,"-","PAS domain"
"91","N16961_00500","NC_002505.1",97946,98779,"-","rhomboid family intramembrane serine protease GlpG"
"92","N16961_00505","NC_002505.1",98786,99106,"-","thiosulfate sulfurtransferase GlpE"
"93","N16961_00510","NC_002505.1",99867,100634,"-","3'->5' ssDNA/RNA exonuclease TatD"
"94","N16961_00515","NC_002505.1",100811,101854,"+","porphobilinogen synthase"
"95","N16961_00520","NC_002505.1",101961,102389,"+","N-acetyltransferase domain-containing protein"
"96","N16961_00530","NC_002505.1",103098,105902,"+","DNA polymerase I"
"97","N16961_00540","NC_002505.1",106649,107311,"-","ribosome biogenesis GTP-binding protein YihA/YsxC"
"98","N16961_00545","NC_002505.1",107463,108080,"+","Cytochrome c553"
"99","N16961_00550","NC_002505.1",108282,108920,"+","2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase"
"100","N16961_00555","NC_002505.1",108920,109468,"+","Der GTPase-activating protein YihI"
"101","N16961_00560","NC_002505.1",109478,109966,"+","DUF2489 domain-containing protein"
"102","N16961_00565","NC_002505.1",110105,111493,"+","oxygen-independent coproporphyrinogen III oxidase"
"103","N16961_00570","NC_002505.1",111557,112753,"-","Uncharacterized protein HemY, contains HemY_N domain and TPR repeats (unrelated to protoporphyrinogen oxidase HemY)"
"104","N16961_00575","NC_002505.1",112750,113949,"-","Proteobacterial HemX domain, involved in 2-ketogluconate production (unrelated to B subtilis HemX, COG0755, no evidence of involvement in heme biosynthesis)"
"105","N16961_00580","NC_002505.1",113933,114700,"-","uroporphyrinogen-III synthase"
