# Annotated with Bakta
# Software: v1.9.2
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	oriC	1	371	?			origin of replication	
contig_1	cds	372	806	-	N16961_00005	mioC	FMN-binding protein MioC	COG:C, COG:COG0716, GO:0010181, RefSeq:WP_000581314.1, SO:0001217, UniParc:UPI000012F147, UniRef:UniRef100_Q9KVY6, UniRef:UniRef50_Q9KVY6, UniRef:UniRef90_Q9KVY6
contig_1	cds	816	2177	-	N16961_00010	mnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	COG:COG0486, COG:J, EC:3.6.-.-, GO:0002098, GO:0003924, GO:0005515, GO:0005525, GO:0005737, GO:0005829, GO:0006400, GO:0030488, GO:0046872, RefSeq:WP_000205962.1, SO:0001217, UniParc:UPI00001A3AD9, UniRef:UniRef100_Q9KVY5, UniRef:UniRef50_Q9KVY5, UniRef:UniRef90_Q9KVY5
contig_1	cds	2271	3896	-	N16961_00015	yidC	membrane protein insertase YidC	COG:COG0706, COG:M, GO:0005886, GO:0015031, GO:0016020, GO:0032977, RefSeq:WP_000378235.1, SO:0001217, UniParc:UPI00000C2B8B, UniRef:UniRef100_A5F484, UniRef:UniRef50_A5F484, UniRef:UniRef90_A5F484
contig_1	cds	4123	4446	-	N16961_00020	rnpA	ribonuclease P protein component	COG:COG0594, COG:J, EC:3.1.26.5, GO:0000049, GO:0001682, GO:0004526, GO:0006396, KEGG:K03536, RefSeq:WP_000957257.1, SO:0001217, UniParc:UPI0001B1A649, UniRef:UniRef100_A0A085SUG8, UniRef:UniRef50_Q5E8Z7, UniRef:UniRef90_A5F483
contig_1	cds	4492	4629	-	N16961_00025	rpmH	50S ribosomal protein L34	GO:0000315, GO:0003735, GO:0005840, GO:0006412, GO:0022625, GO:1990904, RefSeq:WP_000044781.1, SO:0001217, UniParc:UPI0000133FDE, UniRef:UniRef100_A5F482, UniRef:UniRef50_A5F482, UniRef:UniRef90_A5F482
contig_1	cds	4871	5608	-	N16961_00030	glnQ	ABC-type polar amino acid transport system, ATPase component	COG:COG1126, COG:E, RefSeq:WP_000593852.1, SO:0001217, UniParc:UPI00000C2B8C, UniRef:UniRef100_A0A085QU53, UniRef:UniRef50_A0A7W6E388, UniRef:UniRef90_A0A655YN03
contig_1	cds	5605	6276	-	N16961_00035	patM	putative amino-acid ABC transporter permease protein PatM	COG:COG0765, COG:E, GO:0006865, GO:0022857, GO:0043190, RefSeq:WP_000505205.1, SO:0001217, UniParc:UPI00000C2B8D, UniRef:UniRef100_A0A0F4FB25, UniRef:UniRef50_P52625, UniRef:UniRef90_P52625
contig_1	cds	6354	7100	-	N16961_00040	hisJ	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	COG:COG0834, COG:ET, RefSeq:WP_000683500.1, SO:0001217, UniParc:UPI00000C2B8E, UniRef:UniRef100_A0A0H6XZX0, UniRef:UniRef50_P52626, UniRef:UniRef90_A0A655YLD2
contig_1	cds	7412	8815	+	N16961_00045	dnaA	chromosomal replication initiator protein DnaA	COG:COG0593, COG:L, GO:0003677, GO:0003688, GO:0005524, GO:0005737, GO:0006270, GO:0006275, GO:0016887, KEGG:K02313, RefSeq:WP_000099214.1, SO:0001217, UniParc:UPI00001A3AB6, UniRef:UniRef100_Q9KVX6, UniRef:UniRef50_P29440, UniRef:UniRef90_P49996
