Feature_name;Counts;Chr;Start;End;Strand;Type;CPM
N16961_00005;0;NC_002505.1;372;806;-;cds;0
N16961_00010;0;NC_002505.1;816;2177;-;cds;0
N16961_00015;0;NC_002505.1;2271;3896;-;cds;0
N16961_00020;0;NC_002505.1;4123;4446;-;cds;0
N16961_00025;0;NC_002505.1;4492;4629;-;cds;0
N16961_00030;0;NC_002505.1;4871;5608;-;cds;0
N16961_00035;0;NC_002505.1;5605;6276;-;cds;0
N16961_00040;0;NC_002505.1;6354;7100;-;cds;0
N16961_00045;0;NC_002505.1;7412;8815;+;cds;0
N16961_00055;0;NC_002505.1;8873;9973;+;cds;0
N16961_00060;0;NC_002505.1;9991;11082;+;cds;0
N16961_00065;0;NC_002505.1;11103;13520;+;cds;0
N16961_00070;0;NC_002505.1;13945;14367;+;cds;0
N16961_00075;0;NC_002505.1;14377;14493;+;cds;0
N16961_00080;0;NC_002505.1;14769;15206;+;cds;0
N16961_00085;0;NC_002505.1;15294;16550;-;cds;0
N16961_00095;0;NC_002505.1;16869;18935;-;cds;0
N16961_00100;0;NC_002505.1;18950;19867;-;cds;0
N16961_00105;0;NC_002505.1;20283;20837;+;cds;0
N16961_00110;0;NC_002505.1;20943;21200;+;cds;0
N16961_00115;0;NC_002505.1;21287;21535;-;cds;0
N16961_00120;0;NC_002505.1;21671;21856;+;cds;0
N16961_00125;0;NC_002505.1;22028;23008;-;cds;0
N16961_00130;1;NC_002505.1;23256;24788;-;cds;23.9080020082722
N16961_00135;1;NC_002505.1;24792;26633;-;cds;23.9080020082722
N16961_00140;2;NC_002505.1;26643;27581;-;cds;47.8160040165443
N16961_00145;1;NC_002505.1;27593;27877;-;cds;23.9080020082722
N16961_00150;0;NC_002505.1;27889;29535;-;cds;0
N16961_00155;0;NC_002505.1;30069;31592;+;cds;0
N16961_00160;0;NC_002505.1;31682;32566;+;cds;0
N16961_00165;0;NC_002505.1;32644;33246;-;cds;0
N16961_00170;0;NC_002505.1;33277;34281;-;cds;0
N16961_00175;0;NC_002505.1;34311;35735;-;cds;0
N16961_00185;0;NC_002505.1;36152;36418;-;cds;0
N16961_00190;0;NC_002505.1;36979;37770;+;cds;0
N16961_00195;0;NC_002505.1;37854;38495;+;cds;0
N16961_00200;0;NC_002505.1;38534;39091;-;cds;0
N16961_00205;0;NC_002505.1;39103;40548;-;cds;0
N16961_00210;0;NC_002505.1;40560;41936;-;cds;0
N16961_00215;0;NC_002505.1;41998;43278;-;cds;0
N16961_00220;0;NC_002505.1;43334;44281;-;cds;0
N16961_00225;0;NC_002505.1;44299;44808;-;cds;0
N16961_00230;0;NC_002505.1;44948;46075;+;cds;0
N16961_00235;0;NC_002505.1;46075;47190;+;cds;0
N16961_00240;0;NC_002505.1;47193;47669;+;cds;0
N16961_00245;0;NC_002505.1;47685;48251;+;cds;0
N16961_00250;0;NC_002505.1;48324;49457;-;cds;0
N16961_00255;0;NC_002505.1;49461;49946;-;cds;0
N16961_00260;0;NC_002505.1;50113;50670;+;cds;0
N16961_00265;0;NC_002505.1;50689;51606;+;cds;0
N16961_00270;0;NC_002505.1;51668;52504;+;cds;0
N16961_00275;0;NC_002505.1;52501;52776;+;cds;0
N16961_00280;2;NC_002505.1;52757;53308;-;cds;47.8160040165443
N16961_00315;0;NC_002505.1;59356;59736;+;cds;0
N16961_00320;0;NC_002505.1;59988;61925;+;cds;0
N16961_00325;0;NC_002505.1;61929;63251;+;cds;0
N16961_00330;0;NC_002505.1;63238;64014;+;cds;0
N16961_00335;0;NC_002505.1;64008;64214;+;cds;0
N16961_00340;0;NC_002505.1;64220;64990;+;cds;0
N16961_00345;0;NC_002505.1;64987;66099;+;cds;0
N16961_00350;0;NC_002505.1;66324;68117;-;cds;0
N16961_00355;0;NC_002505.1;68250;69191;-;cds;0
N16961_00360;0;NC_002505.1;69296;70498;+;cds;0
N16961_00365;0;NC_002505.1;70602;70886;+;cds;0
N16961_00370;0;NC_002505.1;70975;71436;-;cds;0
N16961_00375;0;NC_002505.1;71524;73818;+;cds;0
N16961_00380;0;NC_002505.1;73878;74663;+;cds;0
N16961_00385;0;NC_002505.1;74787;75170;+;cds;0
N16961_00390;0;NC_002505.1;75266;76153;-;cds;0
N16961_00395;0;NC_002505.1;76210;76635;-;cds;0
N16961_00400;0;NC_002505.1;76800;77327;+;cds;0
N16961_00405;0;NC_002505.1;77403;77726;+;cds;0
N16961_00410;0;NC_002505.1;77868;79055;+;cds;0
N16961_00415;0;NC_002505.1;79052;79963;-;cds;0
N16961_00420;0;NC_002505.1;80086;81618;+;cds;0
N16961_00425;0;NC_002505.1;81663;82445;+;cds;0
N16961_00430;0;NC_002505.1;82454;83077;+;cds;0
N16961_00435;0;NC_002505.1;83074;84708;+;cds;0
