chr	start	end	value1
NC_002505.1	1	1000	0
NC_002505.1	1001	2000	0
NC_002505.1	2001	3000	0
NC_002505.1	3001	4000	0
NC_002505.1	4001	5000	0
NC_002505.1	5001	6000	0
NC_002505.1	6001	7000	0
NC_002505.1	7001	8000	0
NC_002505.1	8001	9000	0
NC_002505.1	9001	10000	0
NC_002505.1	10001	11000	0
NC_002505.1	11001	12000	0
NC_002505.1	12001	13000	0
NC_002505.1	13001	14000	0
NC_002505.1	14001	15000	0
NC_002505.1	15001	16000	0
NC_002505.1	16001	17000	0
NC_002505.1	17001	18000	0
NC_002505.1	18001	19000	0
NC_002505.1	19001	20000	0.075
NC_002505.1	20001	21000	0.244
NC_002505.1	21001	22000	0
NC_002505.1	22001	23000	0
NC_002505.1	23001	24000	0.956
NC_002505.1	24001	25000	0.134
NC_002505.1	25001	26000	0
NC_002505.1	26001	27000	0.215
NC_002505.1	27001	28000	0.183
NC_002505.1	28001	29000	0
NC_002505.1	29001	30000	0
NC_002505.1	30001	31000	0
NC_002505.1	31001	32000	0
NC_002505.1	32001	33000	0
NC_002505.1	33001	34000	0
NC_002505.1	34001	35000	0
NC_002505.1	35001	36000	0
NC_002505.1	36001	37000	0
NC_002505.1	37001	38000	0
NC_002505.1	38001	39000	0
NC_002505.1	39001	40000	0
NC_002505.1	40001	41000	0
NC_002505.1	41001	42000	0
NC_002505.1	42001	43000	0
NC_002505.1	43001	44000	0
NC_002505.1	44001	45000	0
NC_002505.1	45001	46000	0
NC_002505.1	46001	47000	0
NC_002505.1	47001	48000	0
NC_002505.1	48001	49000	0
NC_002505.1	49001	50000	0
NC_002505.1	50001	51000	0
NC_002505.1	51001	52000	0
NC_002505.1	52001	53000	0
NC_002505.1	53001	54000	0.41
NC_002505.1	54001	55000	0
NC_002505.1	55001	56000	0
NC_002505.1	56001	57000	0
NC_002505.1	57001	58000	0
NC_002505.1	58001	59000	0
NC_002505.1	59001	60000	0
NC_002505.1	60001	61000	0
NC_002505.1	61001	62000	0
NC_002505.1	62001	63000	0
NC_002505.1	63001	64000	0
NC_002505.1	64001	65000	0
NC_002505.1	65001	66000	0
NC_002505.1	66001	67000	0
NC_002505.1	67001	68000	0
NC_002505.1	68001	69000	0
NC_002505.1	69001	70000	0
NC_002505.1	70001	71000	0
NC_002505.1	71001	72000	0
NC_002505.1	72001	73000	0
NC_002505.1	73001	74000	0
NC_002505.1	74001	75000	0
NC_002505.1	75001	76000	0
NC_002505.1	76001	77000	0
NC_002505.1	77001	78000	0
NC_002505.1	78001	79000	0
NC_002505.1	79001	80000	0
NC_002505.1	80001	81000	0
NC_002505.1	81001	82000	0
NC_002505.1	82001	83000	0
NC_002505.1	83001	84000	0
NC_002505.1	84001	85000	0
NC_002505.1	85001	86000	0
NC_002505.1	86001	87000	0
NC_002505.1	87001	88000	0
NC_002505.1	88001	89000	0
NC_002505.1	89001	90000	0
NC_002505.1	90001	91000	0
NC_002505.1	91001	92000	0
NC_002505.1	92001	93000	0
NC_002505.1	93001	94000	0
NC_002505.1	94001	95000	0
NC_002505.1	95001	96000	0
NC_002505.1	96001	97000	0
NC_002505.1	97001	98000	0
NC_002505.1	98001	99000	0
NC_002505.1	99001	1e+05	0
NC_002505.1	100001	101000	0
NC_002505.1	101001	102000	0
NC_002505.1	102001	103000	0
NC_002505.1	103001	104000	0
NC_002505.1	104001	105000	0
NC_002505.1	105001	106000	0
NC_002505.1	106001	107000	0
NC_002505.1	107001	108000	0
NC_002505.1	108001	109000	0
NC_002505.1	109001	110000	0
NC_002505.1	110001	111000	0
NC_002505.1	111001	112000	0
NC_002505.1	112001	113000	0
NC_002505.1	113001	114000	0
NC_002505.1	114001	115000	0
NC_002505.1	115001	116000	0
NC_002505.1	116001	117000	0
NC_002505.1	117001	118000	0
NC_002505.1	118001	119000	0
NC_002505.1	119001	120000	0
NC_002505.1	120001	121000	0
NC_002505.1	121001	122000	0
NC_002505.1	122001	123000	0
NC_002505.1	123001	124000	0
NC_002505.1	124001	125000	0
NC_002505.1	125001	126000	0
NC_002505.1	126001	127000	0
NC_002505.1	127001	128000	0
NC_002505.1	128001	129000	0
NC_002505.1	129001	130000	0
NC_002505.1	130001	131000	0
NC_002505.1	131001	132000	0
NC_002505.1	132001	133000	0
NC_002505.1	133001	134000	0
NC_002505.1	134001	135000	0.546
NC_002505.1	135001	136000	0
NC_002505.1	136001	137000	0
NC_002505.1	137001	138000	0
NC_002505.1	138001	139000	0
NC_002505.1	139001	140000	0
NC_002505.1	140001	141000	0
NC_002505.1	141001	142000	0
NC_002505.1	142001	143000	0
NC_002505.1	143001	144000	0
NC_002505.1	144001	145000	0.393
NC_002505.1	145001	146000	0
NC_002505.1	146001	147000	0
NC_002505.1	147001	148000	0
NC_002505.1	148001	149000	0
NC_002505.1	149001	150000	0
NC_002505.1	150001	151000	0
NC_002505.1	151001	152000	0
NC_002505.1	152001	153000	0
NC_002505.1	153001	154000	0
NC_002505.1	154001	155000	0
NC_002505.1	155001	156000	0
NC_002505.1	156001	157000	0
