Chromosome;Feature_name;Start;Stop;Strand;Type;Counts;CPM;Gene;Bakta Annotation
NC_002505.1;N16961_04740;1000710;1001906;+;cds;0;0;vpsM;exopolysaccharide biosynthesis beta-barrel protein VpsM
NC_002506.1;N16961_18580;1000934;1001800;+;cds;0;0;;Superfamily I DNA/RNA helicase
NC_002506.1;N16961_18585;1001797;1002228;-;cds;0;0;yccF;YccF domain-containing protein
NC_002505.1;N16961_04745;1001910;1002437;+;cds;0;0;vpsN;exopolysaccharide export protein VpsN
NC_002506.1;N16961_14205;100199;100495;+;cds;0;0;;UPF0251 protein VC_A0091
NC_002506.1;N16961_18590;1002304;1003026;-;cds;0;0;tauE;Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family
NC_002505.1;N16961_04750;1002462;1004675;+;cds;0;0;vpsO;exopolysaccharide regulatory tyrosine autokinase VpsO
NC_002506.1;N16961_18595;1003208;1003603;-;cds;0;0;;Rhodanese domain-containing protein
NC_002506.1;N16961_18600;1003730;1004368;-;cds;0;0;ywnB;Putative NADH-flavin reductase
NC_002506.1;N16961_18605;1004501;1005391;+;cds;0;0;lysR;DNA-binding transcriptional regulator, LysR family
NC_002505.1;N16961_04755;1004672;1005379;+;cds;0;0;vpsP;exopolysaccharide biosynthesis protein VpsP
NC_002505.1;N16961_04760;1005358;1005792;+;cds;0;0;vpsQ;exopolysaccharide biosynthesis protein VpsQ
NC_002506.1;N16961_18610;1005434;1007746;-;cds;0;0;tar;Methyl-accepting chemotaxis protein (MCP)
NC_002505.1;N16961_04770;1005943;1006539;-;cds;0;0;yitT;DUF161 DUF2179 domains-containing protein
NC_002506.1;N16961_14210;100666;101295;-;cds;0;0;estA;Triacylglycerol esterase/lipase EstA, alpha/beta hydrolase fold
NC_002505.1;N16961_04775;1006880;1008130;+;cds;0;0;glyA1;Serine hydroxymethyltransferase 1
NC_002505.1;N16961_00515;100811;101854;+;cds;0;0;hemB;porphobilinogen synthase
NC_002506.1;N16961_18615;1008136;1008855;-;cds;0;0;ydfG;NADP-dependent 3-hydroxy acid dehydrogenase YdfG
NC_002505.1;N16961_04780;1008294;1008620;-;cds;0;0;;Lipoprotein
NC_002505.1;N16961_04785;1008816;1009781;-;cds;0;0;lipA;lipoyl synthase
NC_002506.1;N16961_18620;1009003;1009908;+;cds;0;0;lysR;DNA-binding transcriptional regulator, LysR family
NC_002505.1;N16961_04790;1009774;1010424;-;cds;0;0;lipB;lipoyl(octanoyl) transferase LipB
NC_002506.1;N16961_18625;1010014;1010619;+;cds;0;0;trmY;tRNA (pseudouridine(54)-N(1))-methyltransferase TrmY
NC_002505.1;N16961_04795;1010612;1010890;-;cds;0;0;ybeD;DUF493 domain-containing protein
NC_002506.1;N16961_18630;1010684;1011340;-;cds;0;0;ribB;3,4-dihydroxy-2-butanone 4-phosphate synthase
NC_002505.1;N16961_04800;1011038;1012213;-;cds;0;0;dacC;D-alanyl-D-alanine carboxypeptidase
NC_002506.1;N16961_18635;1011799;1013118;-;cds;0;0;potE;putrescine-ornithine antiporter
NC_002505.1;N16961_04805;1012305;1013096;-;cds;0;0;rlpA;septal ring lytic transglycosylase RlpA
NC_002505.1;N16961_04810;1013096;1014217;-;cds;0;0;mrdB;peptidoglycan glycosyltransferase MrdB
NC_002506.1;N16961_18640;1013186;1015348;-;cds;0;0;speF;ornithine decarboxylase SpeF
NC_002505.1;N16961_04815;1014214;1016130;-;cds;0;0;mrdA;penicillin-binding protein 2
NC_002505.1;N16961_04820;1016137;1016607;-;cds;0;0;rlmH;23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH
NC_002506.1;N16961_18645;1016331;1017773;-;cds;0;0;adhE;Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase
NC_002505.1;N16961_04825;1016610;1016927;-;cds;0;0;rsfS;ribosome silencing factor
NC_002505.1;N16961_04830;1016996;1018024;-;cds;0;0;holA;DNA polymerase III subunit delta
NC_002506.1;N16961_18650;1017946;1018428;-;cds;0;0;lrp;DNA-binding transcriptional regulator, Lrp family
NC_002506.1;N16961_14215;101796;102152;+;cds;0;0;hxlR;DNA-binding transcriptional regulator, HxlR family
NC_002505.1;N16961_04835;1018030;1018644;-;cds;0;0;lptE;Outer membrane lipoprotein LptE/RlpB (LPS assembly)
NC_002506.1;N16961_18655;1018626;1020515;-;cds;0;0;tar;Methyl-accepting chemotaxis protein (MCP)
NC_002505.1;N16961_04840;1018821;1021397;-;cds;0;0;leuS;leucine--tRNA ligase
NC_002505.1;N16961_00520;101961;102389;+;cds;0;0;;N-acetyltransferase domain-containing protein
