Chromosome;Feature_name;Start;Stop;Strand;Type;Counts;CPM;Gene;Bakta Annotation
NC_002506.1;attI;310925;310943;NA;NA;477;6615.07738;NA;NA
NC_002506.1;Cassette_1;310944;311313;NA;cassette;552;7655.18389;NA;NA
NC_002506.1;N16961_15155;311034;311300;+;cds;542;7516.50302;;Transposase
NC_002506.1;attC_1;311314;311441;+;attC;2370;32867.36562;NA;NA
NC_002506.1;Cassette_2;311442;312190;NA;cassette;2156;29899.59505;NA;NA
NC_002506.1;N16961_15160;311455;312054;+;cds;2107;29220.0588;;DUF6338 domain-containing protein
NC_002506.1;attC_2;312191;312319;+;attC;1868;25905.58607;NA;NA
NC_002506.1;Cassette_3;312320;312622;NA;cassette;79;1095.57885;NA;NA
NC_002506.1;N16961_15165;312428;312628;+;cds;70;970.76607;;Vco30
NC_002506.1;attC_3;312623;312748;+;attC;235;3259.00039;NA;NA
NC_002506.1;Cassette_4;312749;313110;NA;cassette;208;2884.56205;NA;NA
NC_002506.1;N16961_15170;312764;313090;+;cds;204;2829.0897;;Glyoxalase
NC_002506.1;attC_4;313111;313236;+;attC;214;2967.77057;NA;NA
NC_002506.1;Cassette_5;313237;313594;NA;cassette;47;651.80008;NA;NA
NC_002506.1;attC_5;313595;313721;+;attC;456;6323.84756;NA;NA
NC_002506.1;Cassette_6;313722;314123;NA;cassette;491;6809.2306;NA;NA
NC_002506.1;attC_6;314124;314253;+;attC;1933;26807.0117;NA;NA
NC_002506.1;Cassette_7;314254;314585;NA;cassette;1634;22660.45376;NA;NA
NC_002506.1;N16961_15175;314325;314576;+;cds;1616;22410.8282;;Fumarylacetoacetate hydrolase
NC_002506.1;attC_7;314586;314711;+;attC;1554;21551.00682;NA;NA
NC_002506.1;Cassette_8;314712;315162;NA;cassette;29;402.17452;NA;NA
NC_002506.1;N16961_15180;314729;315160;+;cds;27;374.43834;;GIY-YIG domain-containing protein
NC_002506.1;attC_8;315163;315290;+;attC;55;762.74477;NA;NA
NC_002506.1;Cassette_9;315291;315934;NA;cassette;41;568.59156;NA;NA
NC_002506.1;N16961_15185;315311;315940;+;cds;41;568.59156;catB9;type B-5 chloramphenicol O-acetyltransferase CatB9
NC_002506.1;attC_9;315935;316062;+;attC;63;873.68947;NA;NA
NC_002506.1;Cassette_10;316063;316849;NA;cassette;47;651.80008;NA;NA
NC_002506.1;N16961_15190;316096;316848;+;cds;47;651.80008;fabG;SDR family oxidoreductase
NC_002506.1;attC_10;316850;316978;+;attC;152;2107.94919;NA;NA
NC_002506.1;Cassette_11;316979;317384;NA;cassette;157;2177.28962;NA;NA
NC_002506.1;attC_11;317385;317513;+;attC;851;11801.74183;NA;NA
NC_002506.1;Cassette_12;317514;317908;NA;cassette;814;11288.62262;NA;NA
NC_002506.1;N16961_15195;317537;317914;+;cds;814;11288.62262;;hypothetical protein
NC_002506.1;attC_12;317909;318036;+;attC;738;10234.64803;NA;NA
NC_002506.1;Cassette_13;318037;318445;NA;cassette;68;943.0299;NA;NA
NC_002506.1;attC_13;318446;318574;+;attC;208;2884.56205;NA;NA
NC_002506.1;Cassette_14;318575;318981;NA;cassette;189;2621.0684;NA;NA
NC_002506.1;attC_14;318982;319109;+;attC;159;2205.02579;NA;NA
NC_002506.1;Cassette_15;319110;319794;NA;cassette;1;13.86809;NA;NA
NC_002506.1;N16961_15200;319123;319800;+;cds;1;13.86809;mcrA;5-methylcytosine-specific restriction endonuclease McrA
NC_002506.1;attC_15;319795;319923;+;attC;1;13.86809;NA;NA
NC_002506.1;Cassette_16;319924;321177;NA;cassette;4;55.47235;NA;NA
NC_002506.1;N16961_15205;319962;321170;+;cds;4;55.47235;dgt;Deoxyguanosinetriphosphate triphosphohydrolase-like protein 2
NC_002506.1;attC_16;321178;321306;+;attC;42;582.45964;NA;NA
NC_002506.1;Cassette_17;321307;322041;NA;cassette;61;845.95329;NA;NA
